Country Name,Country Code,Series Name,Series Code,2020 [YR2020]
Afghanistan,AFG,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,29.9755825210461
Afghanistan,AFG,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,12.9525996015547
Afghanistan,AFG,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,7.52811462924912
Afghanistan,AFG,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,52.5721090890613
Afghanistan,AFG,Trade (% of GDP),NE.TRD.GNFS.ZS,46.7098945514103
Afghanistan,AFG,GDP per capita (current US$),NY.GDP.PCAP.CD,512.055098228687
Afghanistan,AFG,GDP (current US$),NY.GDP.MKTP.CD,19955929060.841
Afghanistan,AFG,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,17.071
Africa Eastern and Southern,AFE,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,14.6470704989619
Africa Eastern and Southern,AFE,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,25.3805735714509
Africa Eastern and Southern,AFE,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,10.3548875272064
Africa Eastern and Southern,AFE,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,51.5277723867423
Africa Eastern and Southern,AFE,Trade (% of GDP),NE.TRD.GNFS.ZS,49.4786250634664
Africa Eastern and Southern,AFE,GDP per capita (current US$),NY.GDP.PCAP.CD,1355.80592347323
Africa Eastern and Southern,AFE,GDP (current US$),NY.GDP.MKTP.CD,928880235176.594
Africa Eastern and Southern,AFE,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,65.4656006602366
Africa Western and Central,AFW,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,22.5110189863166
Africa Western and Central,AFW,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,27.2413821146431
Africa Western and Central,AFW,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,11.9002837450221
Africa Western and Central,AFW,"Services, value added (% of GDP)",NV.SRV.TOTL.ZS,46.4912858215119
Africa Western and Central,AFW,Trade (% of GDP),NE.TRD.GNFS.ZS,..
Africa Western and Central,AFW,GDP per capita (current US$),NY.GDP.PCAP.CD,1688.07557525957
Africa Western and Central,AFW,GDP (current US$),NY.GDP.MKTP.CD,786962436538.391
Africa Western and Central,AFW,"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,54.533537350557
Albania,ALB,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,19.2252227057273
Albania,ALB,"Industry (including construction), value added (% of GDP)",NV.IND.TOTL.ZS,20.1145301950871
Albania,ALB,"Manufacturing, value added (% of GDP)",NV.IND.MANF.ZS,6.15603616203593
